Condition,CFU,logCFU,Date
MO.A1.9,74000,4.86923172,20111101
MO.A1.9,70000,4.84509804,20111101
MO.A1.9,58000,4.763427994,20111101
MO.A1.9,52000,4.716003344,20111101
MO.A1.9,20000,4.301029996,20111101
MO.A1.9,7200,3.857332496,20111101
MO.A1.9,4200,3.62324929,20111101
MO.A1.9,2800,3.447158031,20111101
MO.A1.9,340,2.531478917,20111101
MO.I2.9,380000,5.579783597,20220425
MO.I2.9,280000,5.447158031,20220425
MO.I2.9,2200,3.342422681,20220425
MO.I2.9,1800,3.255272505,20220425
MO.I2.9,10000,4,20220425
MO.I2.9,46000,4.662757832,20220425
MO.I2.9,2600,3.414973348,20220425
MO.I2.9,10000,4,20220425
MO.I2.9,540000,5.73239376,20220425
MO.I2.9,52000,4.716003344,20220425
MO.I2.9,30000,4.477121255,20220425
MO.I2.9,14000,4.146128036,20220425
MO.I2.9,160000,5.204119983,20220425
MO.I2.9,320000,5.505149978,20220425
MO.I2.9,12000,4.079181246,20220425
MO.I2.9,3400,3.531478917,20220425
MO.I2.9,4000,3.602059991,20220425
MO.I2.9,3000,3.477121255,20220425
MO.I2.9,40000,4.602059991,20220425
MO.I2.9,2400,3.380211242,20220425
MO.I2.9,18000,4.255272505,20220425
MO.I2.9,3600,3.556302501,20220425
MO.I2.9,240000,5.380211242,20220425
MO.I2.9,260000,5.414973348,20220425
MO.I2.9,8000,3.903089987,20200429
MO.I2.9,400000,5.602059991,20200429
MO.I2.9,30000,4.477121255,20200429
MO.I2.9,140000,5.146128036,20200429
MO.I2.9,740000,5.86923172,20200429
MO.I2.9,140000,5.146128036,20200429
MO.I2.9,2600,3.414973348,20200429
MO.I2.9,220000,5.342422681,20200429
MO.I2.9,220000,5.342422681,20200429
MO.I2.9,200,2.301029996,20200429
MO.I2.9,8000,3.903089987,20200429
MO.I2.9,50000,4.698970004,20200429
MO.I2.9,28000,4.447158031,20200429
MO.I2.9,60000,4.77815125,20200429
MO.I2.9,32000,4.505149978,20200429
MO.I2.9,22000,4.342422681,20200429
MO.I2.9,1600,3.204119983,20200429
MO.I2.9,24000,4.380211242,20200429
MO.I2.9,2800,3.447158031,20200429
MO.I2.9,600,2.77815125,20200429
MO.I2.9,42000,4.62324929,20200429
MO.I2.9,40000,4.602059991,20200429
MO.I2.9,3000,3.477121255,20200429
MO.I2.9,2200,3.342422681,20200429
AA.0,60000,4.77815125,20210926
AA.0,60000,4.77815125,20210926
AA.0,50000,4.698970004,20210926
AA.0,50000,4.698970004,20210926
AA.0,44000,4.643452676,20210926
AA.0,40000,4.602059991,20210926
AA.0,38000,4.579783597,20210926
AA.0,2600,3.414973348,20210926
AA.0,2400,3.380211242,20210926
AA.0,2400,3.380211242,20210926
AA.0,1800,3.255272505,20210926
AA.0,1800,3.255272505,20210926
AA.0,5600,3.748188027,20201206
AA.0,5200,3.716003344,20201206
AA.0,2800,3.447158031,20201206
AA.0,2200,3.342422681,20201206
AA.0,2000,3.301029996,20201206
AA.0,2000,3.301029996,20201206
AA.0,480,2.681241237,20201206
AA.0,460,2.662757832,20201206
AA.0,260,2.414973348,20201206
AA.0,200,2.301029996,20201206
AA.0,200,2.301029996,20201206
AA.0,140,2.146128036,20201206
AA.1,50000,4.698970004,20210926
AA.1,44000,4.643452676,20210926
AA.1,42000,4.62324929,20210926
AA.1,40000,4.602059991,20210926
AA.1,40000,4.602059991,20210926
AA.1,36000,4.556302501,20210926
AA.1,3600,3.556302501,20210926
AA.1,3000,3.477121255,20210926
AA.1,2600,3.414973348,20210926
AA.1,2200,3.342422681,20210926
AA.1,1600,3.204119983,20210926
AA.1,1000,3,20210926
AA.1,64000,4.806179974,20201206
AA.1,12000,4.079181246,20201206
AA.1,9600,3.982271233,20201206
AA.1,4800,3.681241237,20201206
AA.1,4000,3.602059991,20201206
AA.1,3400,3.531478917,20201206
AA.1,2000,3.301029996,20201206
AA.1,1800,3.255272505,20201206
AA.1,1600,3.204119983,20201206
AA.1,1600,3.204119983,20201206
AA.1,1400,3.146128036,20201206
AA.1,1200,3.079181246,20201206
AA.1,180,2.255272505,20201206
AA.1,100,2,20201206
AA.1,640000,5.806179974,20200904
AA.1,180000,5.255272505,20200904
AA.1,70000,4.84509804,20200904
AA.1,70000,4.84509804,20200904
AA.1,68000,4.832508913,20200904
AA.1,64000,4.806179974,20200904
AA.1,30000,4.477121255,20200904
AA.1,26000,4.414973348,20200904
AA.1,6400,3.806179974,20200904
AA.1,1600,3.204119983,20200904
AA.1,800,2.903089987,20200904
AA.2,80000,4.903089987,20210926
AA.2,70000,4.84509804,20210926
AA.2,60000,4.77815125,20210926
AA.2,48000,4.681241237,20210926
AA.2,40000,4.602059991,20210926
AA.2,24000,4.380211242,20210926
AA.2,20000,4.301029996,20210926
AA.2,16000,4.204119983,20210926
AA.2,2000,3.301029996,20210926
AA.2,1800,3.255272505,20210926
AA.2,1000,3,20210926
AA.2,180,2.255272505,20210926
AA.2,102000,5.008600172,20201206
AA.2,32000,4.505149978,20201206
AA.2,32000,4.505149978,20201206
AA.2,6800,3.832508913,20201206
AA.2,5400,3.73239376,20201206
AA.2,4600,3.662757832,20201206
AA.2,3400,3.531478917,20201206
AA.2,3200,3.505149978,20201206
AA.2,3000,3.477121255,20201206
AA.2,2400,3.380211242,20201206
AA.2,2000,3.301029996,20201206
AA.2,2000,3.301029996,20201206
